fila,Tiempo,setpoint Tref,Tref,setpoint Tana,Tana,setpoint_presion,fecha,Pana,Pref
6121,102.0,373.1499938964844,373.02520751953125,623.1500244140625,622.391845703125,2.0999999046325684,26/05/2025 18:10:49,1.885276198387146,1.8857694864273071
6122,102.01666666666667,373.1499938964844,373.3911437988281,623.1500244140625,622.455322265625,2.0999999046325684,26/05/2025 18:10:50,1.885276198387146,1.8857676982879639
6123,102.03333333333333,373.1499938964844,373.42041015625,623.1500244140625,623.8507080078125,2.0999999046325684,26/05/2025 18:10:51,1.885276198387146,1.885764479637146
6124,102.05,373.1499938964844,373.36920166015625,623.1500244140625,624.1678466796875,2.0999999046325684,26/05/2025 18:10:52,1.885276198387146,1.885772943496704
6125,102.06666666666666,373.1499938964844,373.42041015625,623.1500244140625,623.153076171875,2.0999999046325684,26/05/2025 18:10:53,1.885276198387146,1.8857694864273071
6126,102.08333333333333,373.1499938964844,373.0837707519531,623.1500244140625,621.2501220703125,2.0999999046325684,26/05/2025 18:10:54,1.885276198387146,1.885776162147522
6127,102.1,373.1499938964844,373.35455322265625,623.1500244140625,624.2313232421875,0.0,26/05/2025 18:10:55,1.885276198387146,1.8857662677764893
6128,102.11666666666666,373.1499938964844,373.35455322265625,623.1500244140625,622.708984375,0.0,26/05/2025 18:10:56,1.885276198387146,1.8857662677764893
6129,102.13333333333334,373.1499938964844,373.35455322265625,623.1500244140625,623.34326171875,0.0,26/05/2025 18:10:58,1.885276198387146,1.8857662677764893
6130,102.15,373.1499938964844,373.1642761230469,623.1500244140625,622.8992919921875,0.0,26/05/2025 18:10:59,1.885276198387146,1.1580026149749756
6131,102.16666666666667,373.1499938964844,373.5668029785156,623.1500244140625,625.2462158203125,0.0,26/05/2025 18:11:00,1.885276198387146,1.0218943357467651
6132,102.18333333333334,373.1499938964844,373.1569519042969,623.1500244140625,622.8992919921875,0.0,26/05/2025 18:11:01,1.885276198387146,0.9027460217475891
6133,102.2,373.1499938964844,373.2374572753906,623.1500244140625,624.8656005859375,0.0,26/05/2025 18:11:02,1.885276198387146,0.79714435338974
6134,102.21666666666667,373.1499938964844,373.0032653808594,623.1500244140625,622.708984375,0.0,26/05/2025 18:11:03,1.885276198387146,0.7035243511199951
6135,102.23333333333333,373.1499938964844,372.9959411621094,623.1500244140625,622.7724609375,0.0,26/05/2025 18:11:04,1.885276198387146,0.6230918169021606
6136,102.25,373.1499938964844,372.71051025390625,623.1500244140625,621.6307373046875,0.0,26/05/2025 18:11:05,1.885276198387146,0.5503535270690918
6137,102.26666666666667,373.1499938964844,373.127685546875,623.1500244140625,624.5484619140625,0.0,26/05/2025 18:11:06,1.885276198387146,0.4856035113334656
6138,102.28333333333333,373.1499938964844,372.9007873535156,623.1500244140625,622.6456298828125,0.0,26/05/2025 18:11:07,1.885276198387146,0.4302026629447937
6139,102.3,373.1499938964844,372.6665954589844,623.1500244140625,621.821044921875,0.0,26/05/2025 18:11:08,1.885276198387146,0.38030439615249634
6140,102.31666666666666,373.1499938964844,372.84954833984375,623.1500244140625,623.089599609375,0.0,26/05/2025 18:11:09,1.885276198387146,0.332828551530838
6141,102.33333333333333,373.1499938964844,373.0837707519531,623.1500244140625,625.119384765625,0.0,26/05/2025 18:11:10,1.885276198387146,0.2943152189254761
6142,102.35,373.1499938964844,372.9812927246094,623.1500244140625,624.8656005859375,0.0,26/05/2025 18:11:11,1.885276198387146,0.25971519947052
6143,102.36666666666666,373.1499938964844,373.1642761230469,623.1500244140625,625.8804931640625,0.0,26/05/2025 18:11:12,1.885276198387146,0.22913189232349396
6144,102.38333333333334,373.1499938964844,373.0032653808594,623.1500244140625,624.358154296875,0.0,26/05/2025 18:11:13,1.885276198387146,0.20261771976947784
6145,102.4,373.1499938964844,372.9081115722656,623.1500244140625,623.026123046875,0.0,26/05/2025 18:11:15,1.885276198387146,0.1791602075099945
6146,102.41666666666667,373.1499938964844,373.20086669921875,623.1500244140625,624.041015625,0.0,26/05/2025 18:11:16,1.885276198387146,0.006406867410987616
6147,102.43333333333334,373.1499938964844,373.113037109375,623.1500244140625,624.421630859375,0.0,26/05/2025 18:11:17,1.885276198387146,0.004277700092643499
