fecha,Pref
28/05/2025,2.35061
28/05/2025,2.35089
28/05/2025,2.35112
28/05/2025,2.35138
28/05/2025,2.35164
28/05/2025,2.35187
28/05/2025,2.35213
28/05/2025,2.35241
28/05/2025,2.35267
28/05/2025,2.35295
28/05/2025,2.35313
28/05/2025,2.35338
28/05/2025,2.35365
28/05/2025,2.35394
28/05/2025,2.35419
28/05/2025,2.35447
28/05/2025,2.35468
28/05/2025,2.35493
28/05/2025,2.35519
28/05/2025,2.35546
28/05/2025,2.35567
28/05/2025,2.35591
28/05/2025,2.35613
28/05/2025,2.35642
28/05/2025,2.35663
28/05/2025,2.35686
28/05/2025,2.35715
28/05/2025,2.35737
28/05/2025,2.35763
28/05/2025,2.35785
28/05/2025,2.3581
28/05/2025,2.35834
28/05/2025,2.35859
28/05/2025,2.3588
28/05/2025,2.35901
28/05/2025,2.35924
28/05/2025,2.3595
28/05/2025,2.35976
28/05/2025,2.36
28/05/2025,2.36022
28/05/2025,2.36048
28/05/2025,2.36069
28/05/2025,2.36093
28/05/2025,2.36115
28/05/2025,2.36136
28/05/2025,2.36159
28/05/2025,2.36182
28/05/2025,2.36205
28/05/2025,2.3623
28/05/2025,2.3625
28/05/2025,2.36274
28/05/2025,2.36297
28/05/2025,2.36319
28/05/2025,2.3634
28/05/2025,2.36365
28/05/2025,2.36388
28/05/2025,2.36408
28/05/2025,2.3643
28/05/2025,2.36453
28/05/2025,2.36476
28/05/2025,2.36495
28/05/2025,2.36518
28/05/2025,2.36544
28/05/2025,2.36565
28/05/2025,2.36588
28/05/2025,2.36609
28/05/2025,2.36632
28/05/2025,2.36655
28/05/2025,2.36676
28/05/2025,2.36698
28/05/2025,2.36719
28/05/2025,2.36741
28/05/2025,2.36765
28/05/2025,2.3679
28/05/2025,2.36812
28/05/2025,2.36834
28/05/2025,2.36853
28/05/2025,2.36875
28/05/2025,2.36897
28/05/2025,2.36918
28/05/2025,2.36941
28/05/2025,2.3696
28/05/2025,2.36983
28/05/2025,2.37003
28/05/2025,2.37022
28/05/2025,2.37044
28/05/2025,2.37066
28/05/2025,2.37086
28/05/2025,2.37107
28/05/2025,2.37128
28/05/2025,2.3715
28/05/2025,2.37172
28/05/2025,2.37191
28/05/2025,2.37215
28/05/2025,2.37239
28/05/2025,2.37258
28/05/2025,2.3728
28/05/2025,2.37303
28/05/2025,2.37318
28/05/2025,2.37342
28/05/2025,2.37367
28/05/2025,2.37385
28/05/2025,2.37407
28/05/2025,2.37427
